"구명","대여소ID","대여소번호","대여소명","대여소 주소","거치대수","위도","경도"
"강남구","ST-959","2349","역삼빌딩 앞(하나은행 옆)","서울특별시 강남구 테헤란로 지하 156역삼빌딩","10","37.501545","127.038567"
"강남구","ST-960","2350","래미안그레이튼102동앞","서울특별시 강남구 선릉로69길 19102동 앞","10","37.494823","127.047905"
"강남구","ST-937","2351","청소년수련관(수영장)앞","서울특별시 강남구 광평로 144청소년 수련관 수영장 앞","15","37.483879","127.089027"
"강남구","ST-962","2352","서울본부세관(건설회관 앞)","서울특별시 강남구 언주로 721서울본부세관(건설회관 앞)","10","37.51759","127.035027"
"강남구","ST-963","2353","강남구청역 2번출구 뒤","서울특별시 강남구 학동로 342강남구청역 2번출구 뒤","10","37.516811","127.040474"
"강남구","ST-953","2354","청담역 2번출구","서울특별시 강남구 영동대로 647청담역 2번출구","5","37.519787","127.056763"
"강남구","ST-955","2355","삼성역 5~6번 출구 사이","서울특별시 강남구 봉은사로 524삼성역 5~6번 출구","20","37.509121","127.062309"
"강남구","ST-954","2356","강남구청","서울특별시 강남구 학동로 지하 346강남구청","10","37.51807","127.047119"
"강남구","ST-966","2357","르네상스호텔사거리 역삼지하보도 3번출구 앞 (더 오번 빌딩 명동칼국수 앞)","서울특별시 강남구 언주로89길 7더 오번 빌딩 명동칼국수 앞","15","37.501949","127.04277"
"강남구","ST-957","2358","구룡초사거리 (현대아파트10동 앞 )","서울특별시 강남구 개포로 30310동 앞","10","37.481384","127.053917"
"강남구","ST-958","2359","국립국악중고교 정문 맞은편","서울특별시 강남구 논현로10길 29국립국악중고교 정문 맞은편","10","37.475605","127.050377"
"강남구","ST-956","2360","도곡1동 주민센터 교차로","서울특별시 강남구 도곡로 205도곡1동 주민센터 교차로","15","37.492809","127.041389"
"강남구","ST-1170","2361","압구정역 교차로","서울특별시 강남구 신사동 580-7압구정역 교차로","10","37.526844","127.028259"
"강남구","ST-1171","2362","신사동 가로수길 입구","서울특별시 강남구 신사동 501-5신사동 가로수길 입구","10","37.517635","127.022453"
"강남구","ST-1172","2363","강남 을지병원 교차로","서울특별시 강남구 도산대로 172 강남 을지병원 교차로","15","37.51918","127.027466"
"강남구","ST-1173","2364","도산대로 렉서스 앞","서울특별시 강남구 도산대로 229 도산대로 렉서스 앞","10","37.52124","127.031898"
"강남구","ST-1174","2365","K+ 타워 앞","서울특별시 강남구 도산대로 333 K+ 타워 앞","15","37.5233","127.038475"
"강남구","ST-1177","2368","도곡동 경남아파트 건너편","서울특별시 강남구 도곡동 874-1도곡동 경남아파트 건너편","10","37.489342","127.041298"
"강남구","ST-1178","2369","KT선릉타워","서울특별시 강남구 대치동 1011KT선릉타워","20","37.505428","127.052872"
"강남구","ST-1179","2370","한티역 3번출구","서울특별시 강남구 대치동 1026한티역 3번출구","20","37.496552","127.054298"
"강남구","ST-1180","2371","한국우편사업진흥원","서울특별시 강남구 언주로 651한국우편사업진흥원","10","37.514748","127.035133"
"강남구","ST-1181","2372","대치역 사거리","서울특별시 강남구 삼성로 156 대치역 사거리","10","37.494499","127.063797"
"강남구","ST-1182","2373","개포동역 사거리","서울특별시 강남구 개포동 181-3개포동역 사거리","20","37.489277","127.065575"
"강남구","ST-1184","2375","수서역 1번출구 앞","서울특별시 강남구 수서동 728수서역 1번출구 앞","10","37.48735","127.100998"
"강남구","ST-1185","2376","수서역 6번출구 앞","서울특별시 강남구 수서동 740수서역 6번출구 앞","20","37.486778","127.100517"
